timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584217733394,1796,Auth,200,OK,Main thread Group 1-37,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1796,0,85
1584217733430,1839,Auth,200,OK,Main thread Group 1-43,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1839,0,81
1584217733419,1850,Auth,200,OK,Main thread Group 1-41,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1850,0,78
1584217733449,1850,Auth,200,OK,Main thread Group 1-46,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1850,0,80
1584217733454,1862,Auth,200,OK,Main thread Group 1-47,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1861,0,69
1584217733413,1910,Auth,200,OK,Main thread Group 1-40,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1910,0,91
1584217733490,1833,Auth,200,OK,Main thread Group 1-53,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1833,0,79
1584217733467,1889,Auth,200,OK,Main thread Group 1-49,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1889,0,79
1584217733443,1918,Auth,200,OK,Main thread Group 1-45,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1918,0,90
1584217733461,1903,Auth,200,OK,Main thread Group 1-48,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1903,0,78
1584217733472,1901,Auth,200,OK,Main thread Group 1-50,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1901,0,79
1584217733508,1886,Auth,200,OK,Main thread Group 1-56,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1886,0,67
1584217733485,1957,Auth,200,OK,Main thread Group 1-52,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1957,0,80
1584217733479,2243,Auth,200,OK,Main thread Group 1-51,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2243,0,89
1584217733521,2262,Auth,200,OK,Main thread Group 1-58,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2262,0,90
1584217733556,2234,Auth,200,OK,Main thread Group 1-64,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2234,0,77
1584217733574,2216,Auth,200,OK,Main thread Group 1-67,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2216,0,69
1584217733514,2278,Auth,200,OK,Main thread Group 1-57,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2278,0,79
1584217733527,2268,Auth,200,OK,Main thread Group 1-59,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2268,0,76
1584217733503,2304,Auth,200,OK,Main thread Group 1-55,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2304,0,90
1584217733550,2270,Auth,200,OK,Main thread Group 1-63,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2270,0,67
1584217733569,2251,Auth,200,OK,Main thread Group 1-66,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2251,0,80
1584217733545,2287,Auth,200,OK,Main thread Group 1-62,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2287,0,65
1584217733539,2313,Auth,200,OK,Main thread Group 1-61,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2313,0,106
1584217733532,2324,Auth,200,OK,Main thread Group 1-60,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2324,0,90
1584217733598,2338,Auth,200,OK,Main thread Group 1-71,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2338,0,86
1584217733562,2509,Auth,200,OK,Main thread Group 1-65,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2509,0,91
1584217733606,2537,Auth,200,OK,Main thread Group 1-72,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2537,0,67
1584217733636,2509,Auth,200,OK,Main thread Group 1-77,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2509,0,82
1584217733612,2577,Auth,200,OK,Main thread Group 1-73,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2577,0,68
1584217733653,2538,Auth,200,OK,Main thread Group 1-80,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2538,0,74
1584217733587,2619,Auth,200,OK,Main thread Group 1-69,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2619,0,79
1584217733623,2677,Auth,200,OK,Main thread Group 1-75,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2677,0,88
1584217733629,2889,Auth,200,OK,Main thread Group 1-76,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2889,0,80
1584217733737,2787,Register player,201,Created,Main thread Group 1-2,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,2787,0,0
1584217733648,2881,Auth,200,OK,Main thread Group 1-79,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2881,0,67
1584217733592,2964,Auth,200,OK,Main thread Group 1-70,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2964,0,88
1584217733616,2978,Auth,200,OK,Main thread Group 1-74,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2978,0,100
1584217733640,2954,Auth,200,OK,Main thread Group 1-78,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2954,0,90
1584217733665,2940,Auth,200,OK,Main thread Group 1-82,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,2940,0,91
1584217733658,3042,Auth,200,OK,Main thread Group 1-81,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3042,0,88
1584217733678,3022,Auth,200,OK,Main thread Group 1-84,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3022,0,79
1584217733581,3131,Auth,200,OK,Main thread Group 1-68,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3131,0,119
1584217733738,3033,Auth,200,OK,Main thread Group 1-94,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3033,0,67
1584217733753,3028,Auth,200,OK,Main thread Group 1-97,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3028,0,69
1584217733701,3127,Auth,200,OK,Main thread Group 1-88,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3127,0,79
1584217733688,3142,Auth,200,OK,Main thread Group 1-86,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3142,0,89
1584217733683,3159,Auth,200,OK,Main thread Group 1-85,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3159,0,79
1584217733695,3148,Auth,200,OK,Main thread Group 1-87,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3148,0,106
1584217733707,3150,Auth,200,OK,Main thread Group 1-89,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3150,0,78
1584217733677,3249,Register player,201,Created,Main thread Group 1-3,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,3249,0,0
1584217733712,3247,Auth,200,OK,Main thread Group 1-90,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3247,0,78
1584217733672,3290,Auth,200,OK,Main thread Group 1-83,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3290,0,79
1584217733725,3360,Auth,200,OK,Main thread Group 1-92,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3359,0,98
1584217733760,3366,Auth,200,OK,Main thread Group 1-98,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3366,0,79
1584217733719,3427,Auth,200,OK,Main thread Group 1-91,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3427,0,93
1584217733742,3454,Auth,200,OK,Main thread Group 1-95,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3454,0,81
1584217733779,3427,Auth,200,OK,Main thread Group 1-101,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3427,0,67
1584217733730,3578,Auth,200,OK,Main thread Group 1-93,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3578,0,96
1584217733809,3570,Auth,200,OK,Main thread Group 1-106,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3570,0,69
1584217733785,3644,Auth,200,OK,Main thread Group 1-102,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3644,0,68
1584217733748,3682,Auth,200,OK,Main thread Group 1-96,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3682,0,108
1584217733790,3712,Auth,200,OK,Main thread Group 1-103,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3712,0,90
1584217733796,3759,Auth,200,OK,Main thread Group 1-104,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3759,0,66
1584217733772,3829,Auth,200,OK,Main thread Group 1-100,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3829,0,90
1584217733823,3917,Register player,201,Created,Main thread Group 1-1,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,3917,0,0
1584217733820,3928,Auth,200,OK,Main thread Group 1-108,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3928,0,90
1584217733767,4030,Auth,200,OK,Main thread Group 1-99,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4030,0,93
1584217733893,3909,Auth,200,OK,Main thread Group 1-120,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3909,0,71
1584217733827,3985,Auth,200,OK,Main thread Group 1-109,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3985,0,79
1584217733845,3998,Auth,200,OK,Main thread Group 1-112,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3998,0,69
1584217733814,4035,Auth,200,OK,Main thread Group 1-107,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4035,0,69
1584217733803,4052,Auth,200,OK,Main thread Group 1-105,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4052,0,107
1584217733881,3988,Auth,200,OK,Main thread Group 1-118,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,3988,0,83
1584217733833,4067,Auth,200,OK,Main thread Group 1-110,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4067,0,68
1584217733838,4073,Auth,200,OK,Main thread Group 1-111,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4073,0,87
